名前,pokeID,dexID,育て方,ブースト,種族値,ランク,実数値
ネオラント,505,339,最速,すいすい,91,2,314
ドレディア(ヒスイのすがた),608,401,準速,ようりょくそ,105,2,314
ザシアン(れきせんのゆうしゃ),994,627,最速,スカーフ,138,0,313
ザマゼンタ(れきせんのゆうしゃ),996,629,最速,スカーフ,138,0,313
ニョロモ,73,46,最速,すいすい,90,2,312
ニョロゾ,74,47,最速,すいすい,90,2,312
ドレディア(原種),607,400,最速,ようりょくそ,90,2,312
カマスジョー,950,597,最速,スカーフ,136,0,309
テツノツツミ,1115,740,最速,スカーフ,136,0,309
テツノツツミ,1115,740,最速,クォークチャージ,136,1,309
ドリュウズ,588,390,最速,すなかき,88,2,308
ハバタクカミ,1111,736,最速,スカーフ,135,0,307
ハバタクカミ,1111,736,最速,こだいかっせい,135,1,307
パオジアン,1127,751,最速,スカーフ,135,0,307
コライドン(かんぜんけい),1132,756,最速,スカーフ,135,0,307
ミライドン(かんぜんけい),1134,757,最速,スカーフ,135,0,307
サワムラー,133,88,最速,かるわざ,87,2,304
マルマイン(原種),125,83,準速,スカーフ,150,0,303
マルマイン(ヒスイのすがた),126,84,準速,スカーフ,150,0,303
ゴルダック,66,39,最速,すいすい,85,2,300
サンダース,167,111,最速,スカーフ,130,0,300
サンダース,167,111,最速,はやあし,130,1,300
ミュウツー,185,124,最速,スカーフ,130,0,300
ハリーセン(原種),249,177,最速,すいすい,85,2,300
ハリーセン(ヒスイのすがた),250,178,最速,すいすい,85,2,300
キングドラ,271,193,最速,すいすい,85,2,300
ブイゼル,466,311,最速,すいすい,85,2,300
ムゲンダイナ(通常),998,631,最速,スカーフ,130,0,300
レイスポス,1007,639,最速,スカーフ,130,0,300
ハリーマン,1018,648,最速,すいすい,85,2,300
ソウブレイズ,1057,684,最速,くだけるよろい,85,2,300
ラブカス,413,277,準速,すいすい,97,2,298
メロエッタ(ステップフォルム),724,463,最速,スカーフ,128,0,297
ジュプトル,294,208,準速,かるわざ,95,2,294
リーフィア,518,348,準速,ようりょくそ,95,2,294
シェイミ(スカイフォルム),549,375,最速,スカーフ,127,0,294
メブキジカ,654,424,準速,ようりょくそ,95,2,294
ファイアロー,741,475,最速,スカーフ,126,0,292
マニューラ,509,342,最速,スカーフ,125,0,291
ドラパルト,993,626,準速,スカーフ,142,0,291
タイカイデン,1061,688,最速,スカーフ,125,0,291
フシギバナ,2,2,最速,ようりょくそ,80,2,290
コイキング,161,105,最速,すいすい,80,2,290
ポポッコ,224,156,最速,ようりょくそ,80,2,290
ダーテング,318,223,最速,ようりょくそ,80,2,290
ヒンバス,392,267,最速,すいすい,80,2,290
オニゴーリ,405,276,最速,ムラっけ,80,2,290
フワライド,474,317,最速,かるわざ,80,2,290
バルジーナ,700,451,最速,くだけるよろい,80,2,290
アブリボン,839,540,最速,スカーフ,124,0,289
ハハコモリ,600,396,準速,ようりょくそ,92,2,288
オンバーン,804,511,最速,スカーフ,123,0,288
マスカーニャ,1023,653,最速,スカーフ,123,0,288
ネオラント,505,339,準速,すいすい,91,2,286
ゲッコウガ(通常),735,472,最速,スカーフ,122,0,286
イダイトウ(オスのすがた),1015,645,最速,すいすい,78,2,286
イダイトウ(メスのすがた),1016,646,最速,すいすい,78,2,286
トルネロス(れいじゅうフォルム),712,458,最速,スカーフ,121,0,285
ザシアン(れきせんのゆうしゃ),994,627,準速,スカーフ,138,0,285
ザマゼンタ(れきせんのゆうしゃ),996,629,準速,スカーフ,138,0,285
モトトカゲ,1088,714,最速,スカーフ,121,0,285
ニョロモ,73,46,準速,すいすい,90,2,284
ニョロゾ,74,47,準速,すいすい,90,2,284
ドレディア(原種),607,400,準速,ようりょくそ,90,2,284
ダグトリオ(原種),58,33,最速,スカーフ,120,0,283
ジュカイン,295,209,最速,スカーフ,120,0,283
パルキア(オリジンフォルム),539,369,最速,スカーフ,120,0,283
アルセウス,550,376,最速,スカーフ,120,0,283
メテノ(コア),874,563,最速,スカーフ,120,0,283
インテレオン,921,579,最速,スカーフ,120,0,283
オオニューラ,1017,647,最速,スカーフ,120,0,283
ウミトリオ,1081,708,最速,スカーフ,120,0,283
ウミトリオ,1081,708,最速,びびり,120,1,283
エースバーン,918,576,最速,スカーフ,119,0,282
カマスジョー,950,597,準速,スカーフ,136,0,282
テツノツツミ,1115,740,準速,スカーフ,136,0,282
テツノツツミ,1115,740,準速,クォークチャージ,136,1,282
トドロクツキ,1130,754,最速,スカーフ,119,0,282
トドロクツキ,1130,754,最速,こだいかっせい,119,1,282
ドリュウズ,588,390,準速,すなかき,88,2,280
ルチャブル,781,496,最速,スカーフ,118,0,280
ハバタクカミ,1111,736,準速,スカーフ,135,0,280
ハバタクカミ,1111,736,準速,こだいかっせい,135,1,280
パオジアン,1127,751,準速,スカーフ,135,0,280
コライドン(かんぜんけい),1132,756,準速,スカーフ,135,0,280
ミライドン(かんぜんけい),1134,757,準速,スカーフ,135,0,280
サワムラー,133,88,準速,かるわざ,87,2,278
ドーブル,276,198,最速,ムラっけ,75,2,278
シキジカ,653,423,最速,ようりょくそ,75,2,278
グレンアルマ,1056,683,最速,くだけるよろい,75,2,278
シルシュルー,1064,691,最速,かるわざ,75,2,278
スコヴィラン,1072,699,最速,ようりょくそ,75,2,278
スコヴィラン,1072,699,最速,ムラっけ,75,2,278
エンニュート,857,554,最速,スカーフ,117,0,277
レジエレキ,1004,636,最速,,200,0,277
ゼブライカ,581,388,最速,スカーフ,116,0,276
ゼブライカ,581,388,最速,でんきエンジン,116,1,276
エルフーン,605,398,最速,スカーフ,116,0,276
カジリガメ,937,586,最速,すいすい,74,2,276
テツノブジン,1131,755,最速,スカーフ,116,0,276
テツノブジン,1131,755,最速,クォークチャージ,116,1,276
ペルシアン(原種),63,36,最速,スカーフ,115,0,274
ペルシアン(アローラのすがた),64,37,最速,スカーフ,115,0,274
ペルシアン(アローラのすがた),64,37,最速,びびり,115,1,274
ゴルダック,66,39,準速,すいすい,85,2,274
ハリーセン(原種),249,177,準速,すいすい,85,2,274
ハリーセン(ヒスイのすがた),250,178,準速,すいすい,85,2,274
ニューラ(原種),254,181,最速,スカーフ,115,0,274
ニューラ(ヒスイのすがた),255,182,最速,スカーフ,115,0,274
キングドラ,271,193,準速,すいすい,85,2,274
ブイゼル,466,311,準速,すいすい,85,2,274
フローゼル,467,312,最速,スカーフ,115,0,274
エテボース,472,315,最速,スカーフ,115,0,274
アグノム,535,365,最速,スカーフ,115,0,274
チラチーノ,641,414,最速,スカーフ,115,0,274
ハリーマン,1018,648,準速,すいすい,85,2,274
ソウブレイズ,1057,684,準速,くだけるよろい,85,2,274
ハルクジラ,1096,722,最速,ゆきかき,73,2,274
サンダース,167,111,準速,スカーフ,130,0,273
サンダース,167,111,準速,はやあし,130,1,273
ミュウツー,185,124,準速,スカーフ,130,0,273
ムゲンダイナ(通常),998,631,準速,スカーフ,130,0,273
レイスポス,1007,639,準速,スカーフ,130,0,273
ジャローダ,554,379,最速,スカーフ,113,0,271
メロエッタ(ステップフォルム),724,463,準速,スカーフ,128,0,270
ルガルガン(まひるのすがた),841,542,最速,スカーフ,112,0,270
ルガルガン(まひるのすがた),841,542,最速,ふくつのこころ,112,1,270
ニョロボン,75,48,最速,すいすい,70,2,268
ウツボット,84,51,最速,ようりょくそ,70,2,268
エアームド,268,190,最速,くだけるよろい,70,2,268
キモリ,293,207,最速,かるわざ,70,2,268
ルンパッパ,315,220,最速,すいすい,70,2,268
フワンテ,473,316,最速,かるわざ,70,2,268
シェイミ(スカイフォルム),549,375,準速,スカーフ,127,0,268
トルネロス(けしんフォルム),711,457,最速,スカーフ,111,0,268
ボルトロス(けしんフォルム),713,459,最速,スカーフ,111,0,268
ポットデス,959,602,最速,くだけるよろい,70,2,268
イッカネズミ(3びきかぞく),1041,671,最速,スカーフ,111,0,268
イッカネズミ(4ひきかぞく),1042,672,最速,スカーフ,111,0,268
サケブシッポ,1109,734,最速,スカーフ,111,0,268
サケブシッポ,1109,734,最速,こだいかっせい,111,1,268
ライチュウ(原種),27,12,最速,スカーフ,110,0,267
ライチュウ(アローラのすがた),28,13,最速,スカーフ,110,0,267
ダグトリオ(アローラのすがた),59,34,最速,スカーフ,110,0,267
ドードリオ,106,67,最速,スカーフ,110,0,267
ゲンガー,117,78,最速,スカーフ,110,0,267
ケンタロス(原種),157,101,最速,スカーフ,110,0,267
ワタッコ,225,157,最速,スカーフ,110,0,267
エーフィ,233,164,最速,スカーフ,110,0,267
ユキメノコ,526,356,最速,スカーフ,110,0,267
ゾロアーク(ヒスイのすがた),639,412,最速,スカーフ,110,0,267
ファイアロー,741,475,準速,スカーフ,126,0,267
ルガルガン(たそがれのすがた),843,544,最速,スカーフ,110,0,267
タギングル,1065,692,最速,スカーフ,110,0,267
テツノドクガ,1118,743,最速,スカーフ,110,0,267
テツノドクガ,1118,743,最速,クォークチャージ,110,1,267
オーガポン(みどりのめん),1144,766,最速,スカーフ,110,0,267
オーガポン(みどりのめん),1144,766,最速,おもかげやどし,110,1,267
キュウコン(アローラのすがた),44,23,最速,スカーフ,109,0,265
マニューラ,509,342,準速,スカーフ,125,0,265
タイカイデン,1061,688,準速,スカーフ,125,0,265
ウネルミナモ,1136,758,最速,スカーフ,109,0,265
ウネルミナモ,1136,758,最速,こだいかっせい,109,1,265
フシギバナ,2,2,準速,ようりょくそ,80,2,264
コイキング,161,105,準速,すいすい,80,2,264
ポポッコ,224,156,準速,ようりょくそ,80,2,264
ダーテング,318,223,準速,ようりょくそ,80,2,264
ヒンバス,392,267,準速,すいすい,80,2,264
オニゴーリ,405,276,準速,ムラっけ,80,2,264
ゴウカザル,438,292,最速,スカーフ,108,0,264
フワライド,474,317,準速,かるわざ,80,2,264
モグリュー,587,389,最速,すなかき,68,2,264
デンチュラ,664,428,最速,スカーフ,108,0,264
バルジーナ,700,451,準速,くだけるよろい,80,2,264
アブリボン,839,540,準速,スカーフ,124,0,264
ハカドッグ,1093,719,最速,すなかき,68,2,264
テツノコウベ,1117,742,最速,スカーフ,108,0,264
テツノコウベ,1117,742,最速,クォークチャージ,108,1,264
オンバーン,804,511,準速,スカーフ,123,0,262
マスカーニャ,1023,653,準速,スカーフ,123,0,262
ゲッコウガ(通常),735,472,準速,スカーフ,122,0,261
イダイトウ(オスのすがた),1015,645,準速,すいすい,78,2,260
イダイトウ(メスのすがた),1016,646,準速,すいすい,78,2,260
トルネロス(れいじゅうフォルム),712,458,準速,スカーフ,121,0,259
カエンジシ,746,480,最速,スカーフ,106,0,259
ラブトロス(けしんフォルム),1019,649,最速,スカーフ,106,0,259
モトトカゲ,1088,714,準速,スカーフ,121,0,259
テツノワダチ,1114,739,最速,スカーフ,106,0,259
テツノワダチ,1114,739,最速,クォークチャージ,106,1,259
マシマシラ,1142,764,最速,スカーフ,106,0,259
ダグトリオ(原種),58,33,準速,スカーフ,120,0,258
ストライク,152,98,最速,スカーフ,105,0,258
ストライク,152,98,最速,ふくつのこころ,105,1,258
エレブー,154,99,最速,スカーフ,105,0,258
ジュカイン,295,209,準速,スカーフ,120,0,258
ムウマージ,477,318,最速,スカーフ,105,0,258
ケイコウオ,504,338,最速,すいすい,66,2,258
パルキア(オリジンフォルム),539,369,準速,スカーフ,120,0,258
アルセウス,550,376,準速,スカーフ,120,0,258
モンメン,604,397,最速,ようりょくそ,66,2,258
ドレディア(ヒスイのすがた),608,401,最速,スカーフ,105,0,258
ゾロアーク(原種),638,411,最速,スカーフ,105,0,258
フリージオ,683,440,最速,スカーフ,105,0,258
コジョンド,689,442,最速,スカーフ,105,0,258
メテノ(コア),874,563,準速,スカーフ,120,0,258
インテレオン,921,579,準速,スカーフ,120,0,258
サシカマス,949,596,最速,すいすい,66,2,258
ザルード,1003,635,最速,スカーフ,105,0,258
オオニューラ,1017,647,準速,スカーフ,120,0,258
パーモット,1039,669,最速,スカーフ,105,0,258
クエスパトラ,1076,703,最速,スカーフ,105,0,258
クエスパトラ,1076,703,最速,かそく,105,1,258
ウミトリオ,1081,708,準速,スカーフ,120,0,258
ウミトリオ,1081,708,準速,びびり,120,1,258
サンドパン(原種),31,16,最速,すなかき,65,2,256
サンドパン(アローラのすがた),32,17,最速,ゆきかき,65,2,256
アメタマ,326,229,最速,すいすい,65,2,256
マフォクシー,732,469,最速,スカーフ,104,0,256
ニャオニクス(オスのすがた),756,487,最速,スカーフ,104,0,256
ニャオニクス(メスのすがた),757,488,最速,スカーフ,104,0,256
エースバーン,918,576,準速,スカーフ,119,0,256
トドロクツキ,1130,754,準速,スカーフ,119,0,256
トドロクツキ,1130,754,準速,こだいかっせい,119,1,256
テツノイサハ,1137,759,最速,スカーフ,104,0,256
ルチャブル,781,496,準速,スカーフ,118,0,255
ドーブル,276,198,準速,ムラっけ,75,2,254
シキジカ,653,423,準速,ようりょくそ,75,2,254
グレンアルマ,1056,683,準速,くだけるよろい,75,2,254
シルシュルー,1064,691,準速,かるわざ,75,2,254
スコヴィラン,1072,699,準速,ようりょくそ,75,2,254
スコヴィラン,1072,699,準速,ムラっけ,75,2,254
ガブリアス,493,330,最速,スカーフ,102,0,253
エンニュート,857,554,準速,スカーフ,117,0,253
ドロンチ,992,625,最速,スカーフ,102,0,253
ゼブライカ,581,388,準速,スカーフ,116,0,252
ゼブライカ,581,388,準速,でんきエンジン,116,1,252
エルフーン,605,398,準速,スカーフ,116,0,252
ボルトロス(れいじゅうフォルム),714,460,最速,スカーフ,101,0,252
ランドロス(けしんフォルム),717,461,最速,スカーフ,101,0,252
デデンネ,782,497,最速,スカーフ,101,0,252
カジリガメ,937,586,準速,すいすい,74,2,252
レジエレキ,1004,636,準速,,200,0,252
スナノケガワ,1113,738,最速,スカーフ,101,0,252
スナノケガワ,1113,738,最速,こだいかっせい,101,1,252
テツノブジン,1131,755,準速,スカーフ,116,0,252
テツノブジン,1131,755,準速,クォークチャージ,116,1,252
リザードン,5,5,最速,スカーフ,100,0,250
キュウコン(原種),43,22,最速,スカーフ,100,0,250
ペルシアン(原種),63,36,準速,スカーフ,115,0,250
ペルシアン(アローラのすがた),64,37,準速,スカーフ,115,0,250
ペルシアン(アローラのすがた),64,37,準速,びびり,115,1,250
ドククラゲ,86,53,最速,スカーフ,100,0,250
ビリリダマ(原種),123,81,最速,スカーフ,100,0,250
ビリリダマ(ヒスイのすがた),124,82,最速,スカーフ,100,0,250
ケンタロス(パルデアのすがた(コンバット)),158,102,最速,スカーフ,100,0,250
ケンタロス(パルデアのすがた(ブレイズ)),159,103,最速,スカーフ,100,0,250
ケンタロス(パルデアのすがた(ウォーター)),160,104,最速,スカーフ,100,0,250
サンダー(原種),178,117,最速,スカーフ,100,0,250
サンダー(ガラルのすがた),179,118,最速,スカーフ,100,0,250
ミュウ,186,125,最速,スカーフ,100,0,250
バクフーン(原種),192,131,最速,スカーフ,100,0,250
ニューラ(原種),254,181,準速,スカーフ,115,0,250
ニューラ(ヒスイのすがた),255,182,準速,スカーフ,115,0,250
ケッキング,332,235,最速,スカーフ,100,0,250
フライゴン,373,256,最速,スカーフ,100,0,250
ボーマンダ,416,280,最速,スカーフ,100,0,250
ムクホーク,444,298,最速,スカーフ,100,0,250
フローゼル,467,312,準速,スカーフ,115,0,250
エテボース,472,315,準速,スカーフ,115,0,250
アグノム,535,365,準速,スカーフ,115,0,250
パルキア(通常),538,368,最速,スカーフ,100,0,250
シェイミ(ランドフォルム),548,374,最速,スカーフ,100,0,250
チラチーノ,641,414,準速,スカーフ,115,0,250
ウルガモス,707,456,最速,スカーフ,100,0,250
キュワワー,863,558,最速,スカーフ,100,0,250
リククラゲ,1069,696,最速,スカーフ,100,0,250
イルカマン(マイティフォルム),1085,711,最速,スカーフ,100,0,250
ハルクジラ,1096,722,準速,ゆきかき,73,2,250
イーユイ,1129,753,最速,スカーフ,100,0,250
キチキギス,1143,765,最速,スカーフ,99,0,249
ジャローダ,554,379,準速,スカーフ,113,0,247
バスラオ(あかすじ),610,402,最速,スカーフ,98,0,247
バスラオ(しろすじ),611,403,最速,スカーフ,98,0,247
バスラオ(しろすじ),611,403,最速,びびり,98,1,247
スワンナ,649,422,最速,スカーフ,98,0,247
サザンドラ,705,454,最速,スカーフ,98,0,247
フシギソウ,1,1,最速,ようりょくそ,60,2,246
タッツー,144,96,最速,すいすい,60,2,246
コノハナ,317,222,最速,ようりょくそ,60,2,246
バルチャイ,699,450,最速,くだけるよろい,60,2,246
ルガルガン(まひるのすがた),841,542,準速,スカーフ,112,0,246
ルガルガン(まひるのすがた),841,542,準速,ふくつのこころ,112,1,246
ニョロボン,75,48,準速,すいすい,70,2,244
ウツボット,84,51,準速,ようりょくそ,70,2,244
エアームド,268,190,準速,くだけるよろい,70,2,244
キモリ,293,207,準速,かるわざ,70,2,244
ルンパッパ,315,220,準速,すいすい,70,2,244
ラブカス,413,277,最速,スカーフ,97,0,244
フワンテ,473,316,準速,かるわざ,70,2,244
オノノクス,680,437,最速,スカーフ,97,0,244
トルネロス(けしんフォルム),711,457,準速,スカーフ,111,0,244
ボルトロス(けしんフォルム),713,459,準速,スカーフ,111,0,244
ゲコガシラ,734,471,最速,スカーフ,97,0,244
ポットデス,959,602,準速,くだけるよろい,70,2,244
モルペコ,983,620,最速,スカーフ,97,0,244
ウーラオス(いちげきのかた),1001,633,最速,スカーフ,97,0,244
ウーラオス(れんげきのかた),1002,634,最速,スカーフ,97,0,244
イッカネズミ(3びきかぞく),1041,671,準速,スカーフ,111,0,244
イッカネズミ(4ひきかぞく),1042,672,準速,スカーフ,111,0,244
サケブシッポ,1109,734,準速,スカーフ,111,0,244
サケブシッポ,1109,734,準速,こだいかっせい,111,1,244
ライチュウ(原種),27,12,準速,スカーフ,110,0,243
ライチュウ(アローラのすがた),28,13,準速,スカーフ,110,0,243
ダグトリオ(アローラのすがた),59,34,準速,スカーフ,110,0,243
ドードリオ,106,67,準速,スカーフ,110,0,243
ゲンガー,117,78,準速,スカーフ,110,0,243
ケンタロス(原種),157,101,準速,スカーフ,110,0,243
ワタッコ,225,157,準速,スカーフ,110,0,243
エーフィ,233,164,準速,スカーフ,110,0,243
ユキメノコ,526,356,準速,スカーフ,110,0,243
ゾロアーク(ヒスイのすがた),639,412,準速,スカーフ,110,0,243
ルガルガン(たそがれのすがた),843,544,準速,スカーフ,110,0,243
ミミッキュ,878,565,最速,スカーフ,96,0,243
タギングル,1065,692,準速,スカーフ,110,0,243
テツノドクガ,1118,743,準速,スカーフ,110,0,243
テツノドクガ,1118,743,準速,クォークチャージ,110,1,243
オーガポン(みどりのめん),1144,766,準速,スカーフ,110,0,243
オーガポン(みどりのめん),1144,766,準速,おもかげやどし,110,1,243
キュウコン(アローラのすがた),44,23,準速,スカーフ,109,0,241
ディグダ(原種),56,31,最速,スカーフ,95,0,241
オコリザル,68,41,最速,スカーフ,95,0,241
ウインディ(原種),71,44,最速,スカーフ,95,0,241
ゴースト,116,77,最速,スカーフ,95,0,241
フリーザー(ガラルのすがた),177,116,最速,スカーフ,95,0,241
バクフーン(ヒスイのすがた),193,132,最速,スカーフ,95,0,241
ヤンヤンマ,229,161,最速,スカーフ,95,0,241
ヤンヤンマ,229,161,最速,かそく,95,1,241
ヘルガー,270,192,最速,スカーフ,95,0,241
エレキッド,280,201,最速,スカーフ,95,0,241
ジュプトル,294,208,最速,スカーフ,95,0,241
プラスル,354,243,最速,スカーフ,95,0,241
マイナン,355,244,最速,スカーフ,95,0,241
レックウザ,427,286,最速,スカーフ,95,0,241
パチリス,465,310,最速,スカーフ,95,0,241
エレキブル,514,345,最速,スカーフ,95,0,241
エレキブル,514,345,最速,でんきエンジン,95,1,241
メガヤンマ,517,347,最速,スカーフ,95,0,241
メガヤンマ,517,347,最速,かそく,95,1,241
リーフィア,518,348,最速,スカーフ,95,0,241
グライオン,520,350,最速,スカーフ,95,0,241
ユクシー,533,363,最速,スカーフ,95,0,241
メブキジカ,654,424,最速,スカーフ,95,0,241
イエッサン(オスのすがた),981,618,最速,スカーフ,95,0,241
バウッツェル,1044,674,最速,スカーフ,95,0,241
ウミディグダ,1080,707,最速,スカーフ,95,0,241
ウミディグダ,1080,707,最速,びびり,95,1,241
ウネルミナモ,1136,758,準速,スカーフ,109,0,241
ウネルミナモ,1136,758,準速,こだいかっせい,109,1,241
ゴウカザル,438,292,準速,スカーフ,108,0,240
モグリュー,587,389,準速,すなかき,68,2,240
デンチュラ,664,428,準速,スカーフ,108,0,240
ラビフット,917,575,最速,スカーフ,94,0,240
デカヌチャン,1079,706,最速,スカーフ,94,0,240
ハカドッグ,1093,719,準速,すなかき,68,2,240
テツノコウベ,1117,742,準速,スカーフ,108,0,240
テツノコウベ,1117,742,準速,クォークチャージ,108,1,240
ブーバー,155,100,最速,スカーフ,93,0,238
オドリドリ(めらめらスタイル),834,535,最速,スカーフ,93,0,238
オドリドリ(ぱちぱちスタイル),835,536,最速,スカーフ,93,0,238
オドリドリ(ふらふらスタイル),836,537,最速,スカーフ,93,0,238
オドリドリ(まいまいスタイル),837,538,最速,スカーフ,93,0,238
ハハコモリ,600,396,最速,スカーフ,92,0,237
ワルビアル,614,406,最速,スカーフ,92,0,237
カエンジシ,746,480,準速,スカーフ,106,0,237
ハギギシリ,879,566,最速,スカーフ,92,0,237
ラブトロス(けしんフォルム),1019,649,準速,スカーフ,106,0,237
エクスレッグ,1036,666,最速,スカーフ,92,0,237
イキリンコ(グリーンフェザー),1048,678,最速,スカーフ,92,0,237
テツノワダチ,1114,739,準速,スカーフ,106,0,237
テツノワダチ,1114,739,準速,クォークチャージ,106,1,237
マシマシラ,1142,764,準速,スカーフ,106,0,237
ケイコウオ,504,338,準速,すいすい,66,2,236
モンメン,604,397,準速,ようりょくそ,66,2,236
サシカマス,949,596,準速,すいすい,66,2,236
ストライク,152,98,準速,スカーフ,105,0,235
ストライク,152,98,準速,ふくつのこころ,105,1,235
エレブー,154,99,準速,スカーフ,105,0,235
ヤミカラス,235,166,最速,スカーフ,91,0,235
ムウマージ,477,318,準速,スカーフ,105,0,235
ネオラント,505,339,最速,スカーフ,91,0,235
ロトム(通常),527,357,最速,スカーフ,91,0,235
ドレディア(ヒスイのすがた),608,401,準速,スカーフ,105,0,235
ゾロアーク(原種),638,411,準速,スカーフ,105,0,235
フリージオ,683,440,準速,スカーフ,105,0,235
コジョンド,689,442,準速,スカーフ,105,0,235
ランドロス(れいじゅうフォルム),718,462,最速,スカーフ,91,0,235
ザルード,1003,635,準速,スカーフ,105,0,235
パーモット,1039,669,準速,スカーフ,105,0,235
クエスパトラ,1076,703,準速,スカーフ,105,0,235
クエスパトラ,1076,703,準速,かそく,105,1,235
ピカチュウ,26,11,最速,スカーフ,90,0,234
サンドパン(原種),31,16,準速,すなかき,65,2,234
サンドパン(アローラのすがた),32,17,準速,ゆきかき,65,2,234
モルフォン,55,30,最速,スカーフ,90,0,234
ディグダ(アローラのすがた),57,32,最速,スカーフ,90,0,234
ニャース(原種),60,35,最速,スカーフ,90,0,234
コダック,65,38,最速,すいすい,55,2,234
ウインディ(ヒスイのすがた),72,45,最速,スカーフ,90,0,234
ニョロモ,73,46,最速,スカーフ,90,0,234
ニョロゾ,74,47,最速,スカーフ,90,0,234
ウツドン,83,50,最速,ようりょくそ,55,2,234
ナッシー(原種),128,86,最速,ようりょくそ,55,2,234
ファイヤー(原種),180,119,最速,スカーフ,90,0,234
ファイヤー(ガラルのすがた),181,120,最速,スカーフ,90,0,234
オオタチ,198,137,最速,スカーフ,90,0,234
アメタマ,326,229,準速,すいすい,65,2,234
ヤルキモノ,331,234,最速,スカーフ,90,0,234
ザングース,378,261,最速,スカーフ,90,0,234
カイオーガ,425,284,最速,スカーフ,90,0,234
グラードン,426,285,最速,スカーフ,90,0,234
ルカリオ,496,333,最速,スカーフ,90,0,234
ルカリオ,496,333,最速,ふくつのこころ,90,1,234
ポリゴンZ,522,352,最速,スカーフ,90,0,234
ディアルガ(通常),536,366,最速,スカーフ,90,0,234
ディアルガ(オリジンフォルム),537,367,最速,スカーフ,90,0,234
ギラティナ(アナザーフォルム),542,371,最速,スカーフ,90,0,234
ギラティナ(オリジンフォルム),543,372,最速,スカーフ,90,0,234
ドレディア(原種),607,400,最速,スカーフ,90,0,234
マフォクシー,732,469,準速,スカーフ,104,0,234
ニャオニクス(オスのすがた),756,487,準速,スカーフ,104,0,234
ニャオニクス(メスのすがた),757,488,準速,スカーフ,104,0,234
ニャヒート,819,520,最速,スカーフ,90,0,234
ジメレオン,920,578,最速,スカーフ,90,0,234
アノホラグサ,1067,694,最速,スカーフ,90,0,234
ブロロローム,1087,713,最速,スカーフ,90,0,234
カラミンゴ,1094,720,最速,スカーフ,90,0,234
コノヨザル,1102,728,最速,スカーフ,90,0,234
テツノイサハ,1137,759,準速,スカーフ,104,0,234
ビビヨン,744,478,最速,スカーフ,89,0,232
ガブリアス,493,330,準速,スカーフ,102,0,231
ドリュウズ,588,390,最速,スカーフ,88,0,231
ドロンチ,992,625,準速,スカーフ,102,0,231
ボルトロス(れいじゅうフォルム),714,460,準速,スカーフ,101,0,229
ランドロス(けしんフォルム),717,461,準速,スカーフ,101,0,229
デデンネ,782,497,準速,スカーフ,101,0,229
スナノケガワ,1113,738,準速,スカーフ,101,0,229
スナノケガワ,1113,738,準速,こだいかっせい,101,1,229
リザードン,5,5,準速,スカーフ,100,0,228
キュウコン(原種),43,22,準速,スカーフ,100,0,228
ドククラゲ,86,53,準速,スカーフ,100,0,228
ビリリダマ(原種),123,81,準速,スカーフ,100,0,228
ビリリダマ(ヒスイのすがた),124,82,準速,スカーフ,100,0,228
サワムラー,133,88,最速,スカーフ,87,0,228
