ID,全国,名前,フォルム,GEN,FID,RID,TID,IID,名前(フォルム),タイプ1,,タイプ2,,HP,攻撃,防御,特攻,特防,素早,合計,とくせい1,とくせい2,夢特性,重さ(kg),スプライト名,スプライトID,アイコンID,アイコン名
42,0037,ロコン,アローラのすがた,7,00,11,00,a,ロコン(アローラのすがた),こおり,ice,なし,none,38,41,40,50,65,65,299,ゆきがくれ,,ゆきふらし,9.9,pm0037_00_00_00,,173OaFRv3xFCVK94Zb8OWiODCaw57kQ-f,Pokémon-Icon_037a
43,0038,キュウコン,原種,1,00,00,00,,キュウコン(原種),ほのお,fire,なし,none,73,76,75,81,100,100,505,もらいび,,ひでり,19.9,pm0038_00_00_00,,1RwerEIKA2lAYGd4pcU-Eh5z3LpBqfzyK,Pokémon-Icon_038
44,0038,キュウコン,アローラのすがた,7,00,11,00,a,キュウコン(アローラのすがた),こおり,ice,フェアリー,fairy,73,67,75,81,100,109,505,ゆきがくれ,,ゆきふらし,19.9,pm0038_00_00_00,,1jHUEGmorEL4FmY1b0OHRN7Y6L7Kws7aL,Pokémon-Icon_038a
45,0039,プリン,,1,00,00,00,,プリン,ノーマル,normal,フェアリー,fairy,115,45,20,45,25,20,270,メロメロボディ,かちき,フレンドガード,5.5,pm0039_00_00_00,1EksXojK8yewsSY1ybvIQjuvAlgJtdpLp,1EUiu-FCSBhpm_bU6kDXw2RpBYRMW8tpQ,Pokémon-Icon_039
46,0040,プクリン,,1,00,00,00,,プクリン,ノーマル,normal,フェアリー,fairy,140,70,45,85,50,45,435,メロメロボディ,かちき,おみとおし,12,pm0040_00_00_00,1nNwt43HuhX0M7GYLDOjv1UWb-RuDLrh0,1DY2W9Gi2xyV2PtohHU6ZyGMvUiFcpMbo,Pokémon-Icon_040
47,0041,ズバット,,1,00,00,00,,ズバット,どく,poison,ひこう,flying,40,45,35,30,40,55,245,せいしんりょく,,すりぬけ,7.5,pm0041_00_00_00,,1kB0Ax-JMMrd9tL5aeQF0VmqzoWbw3-uV,Pokémon-Icon_041
48,0042,ゴルバット,,1,00,00,00,,ゴルバット,どく,poison,ひこう,flying,75,80,70,65,75,90,455,せいしんりょく,,すりぬけ,55,pm0042_00_00_00,,1qPqwhGnizpR07lW9HNYPc4YKejqVewsF,Pokémon-Icon_042
49,0043,ナゾノクサ,,1,00,00,00,,ナゾノクサ,くさ,grass,どく,poison,45,50,55,75,65,30,320,ようりょくそ,,にげあし,5.4,pm0043_00_00_00,,18Z5rge-vQtmINzI4QcHrSRNIuN-D-gvY,Pokémon-Icon_043
50,0044,クサイハナ,,1,00,00,00,,クサイハナ,くさ,grass,どく,poison,60,65,70,85,75,40,395,ようりょくそ,,あくしゅう,8.6,pm0044_00_00_00,,14AciDDJLYZaTUAYWQUHN9gtWBsXU1Zaq,Pokémon-Icon_044
51,0045,ラフレシア,,1,00,00,00,,ラフレシア,くさ,grass,どく,poison,75,80,85,110,90,50,490,ようりょくそ,,ほうし,18.6,pm0045_00_00_00,,1KR5ZsUOYm1tLHkgeSQhFzbOv40-riJJl,Pokémon-Icon_045
52,0046,パラス,,1,00,00,00,,パラス,むし,bug,くさ,grass,35,70,55,45,55,25,285,ほうし,かんそうはだ,しめりけ,5.4,pm0046_00_00_00,,1DHLpcmXgBJ9fFYulpjQKSK4_dn6iNYfP,Pokémon-Icon_046
53,0047,パラセクト,,1,00,00,00,,パラセクト,むし,bug,くさ,grass,60,95,80,60,80,30,405,ほうし,かんそうはだ,しめりけ,29.5,pm0047_00_00_00,,1Sa96tcxLs2HLdS-SMQjUoDK3bQ0z0J9C,Pokémon-Icon_047
54,0048,コンパン,,1,00,00,00,,コンパン,むし,bug,どく,poison,60,55,50,40,55,45,305,ふくがん,いろめがね,にげあし,30,pm0048_00_00_00,1h21CDK7-XFGS3psvi2i3phRA481JnwhN,1hr0Bn3Q6rWP9m6B4FGJ8IcTitvIhwt0w,Pokémon-Icon_048
55,0049,モルフォン,,1,00,00,00,,モルフォン,むし,bug,どく,poison,70,65,60,90,75,90,450,りんぷん,いろめがね,ミラクルスキン,12.5,pm0049_00_00_00,1dQQhdsfkha1chMzN0MJoX2Hv092Px-A_,1rRf1CYXUE9e94LWS7J1PsKTW7Xps5A3I,Pokémon-Icon_049
56,0050,ディグダ,原種,1,00,00,00,,ディグダ(原種),じめん,ground,なし,none,10,55,25,35,45,95,265,すながくれ,ありじごく,すなのちから,0.8,pm0050_00_00_00,1GJ3uch0OjcLnvwSJqrRZijQxUBLlFo1t,1z3ASwWn2UQSnl1rxxM3sSdFcBUTlrxbD,Pokémon-Icon_050
57,0050,ディグダ,アローラのすがた,7,00,11,00,a,ディグダ(アローラのすがた),じめん,ground,はがね,steel,10,55,30,35,45,90,265,すながくれ,カーリーヘアー,すなのちから,1,pm0050_00_11_00,1aUdGecqTRW2-Z6VitqFz571u3GCRPvSd,1ltExIXEVS9NOuZJFyHAa5x1MLimeK8mD,Pokémon-Icon_050a
58,0051,ダグトリオ,原種,1,00,00,00,,ダグトリオ(原種),じめん,ground,なし,none,35,100,50,50,70,120,425,すながくれ,ありじごく,すなのちから,33.3,pm0051_00_00_00,16DH7kOIS6HKByoTm9Mr-JBjJrNy2Axr9,1movXbsAiDfjVrH8XaYBEqkkR6Nx8XvuL,Pokémon-Icon_051
59,0051,ダグトリオ,アローラのすがた,7,00,11,00,a,ダグトリオ(アローラのすがた),じめん,ground,はがね,steel,35,100,60,50,70,110,425,すながくれ,カーリーヘアー,すなのちから,66.6,pm0051_00_11_00,1zfsxgk2bSVs1IEpkGqkRg-llGbDNchRE,1U7FVj9uo-esM_tquBIiSTfvOiYYGaE9K,Pokémon-Icon_051a
60,0052,ニャース,原種,1,00,00,00,,ニャース(原種),ノーマル,normal,なし,none,40,45,35,40,40,90,290,ものひろい,テクニシャン,きんちょうかん,4.2,pm0052_00_00_00,1Ek9FnyuqJQoiKcmBs76VY35WqfrY5LyC,1zlLKKESXOQnnzrPwuQS_EWa4S43bPki9,Pokémon-Icon_052
61,0052,ニャース,アローラのすがた,7,00,11,00,a,ニャース(アローラのすがた),あく,dark,なし,none,40,35,35,50,40,90,290,ものひろい,テクニシャン,びびり,4.2,pm0052_00_11_00,1nTSv2ijbM62TYzGvycpXktjNJFveoMk2,1EVlxCPTMGlr-bnz3MhRZDX07BAkbqoAJ,Pokémon-Icon_052a
62,0052,ニャース,ガラルのすがた,8,00,31,00,b,ニャース(ガラルのすがた),はがね,steel,なし,none,50,65,55,40,40,40,290,ものひろい,かたいツメ,きんちょうかん,7.5,pm0052_00_31_01,,1eWl7HZNWSZYM0-saS-QP8dqLSfMPH0mu,Pokémon-Icon_052b
63,0053,ペルシアン,原種,1,00,00,00,,ペルシアン(原種),ノーマル,normal,なし,none,65,70,60,65,65,115,440,じゅうなん,テクニシャン,きんちょうかん,32,pm0053_00_00_00,1MNf8k6JH0x4WDi7OzqBHHUT0_5-3cdzm,1cfEXdHjyS8VDxpr3uOWSZ5aZmz3W6Y7y,Pokémon-Icon_053
64,0053,ペルシアン,アローラのすがた,7,00,11,00,a,ペルシアン(アローラのすがた),あく,dark,なし,none,65,60,60,75,65,115,440,ファーコート,テクニシャン,びびり,33,pm0053_00_11_00,1kIYsgbclwF6ChVDbZWKmrjTY4o3st51C,1MykV45zD1y5qPELZSOh28uDFu9UE0syZ,Pokémon-Icon_053a
65,0054,コダック,,1,00,00,00,,コダック,みず,water,なし,none,50,52,48,65,50,55,320,しめりけ,ノーてんき,すいすい,19.6,pm0054_00_00_00,1lVAiRMoD_1g7rTfIJDxbwmFFq4sJZXnq,1DPzZBKDsPPf3CA4iqPShoBtCn57Uu0q_,Pokémon-Icon_054
66,0055,ゴルダック,,1,00,00,00,,ゴルダック,みず,water,なし,none,80,82,78,95,80,85,500,しめりけ,ノーてんき,すいすい,76.6,pm0055_00_00_00,1klcZ3yPO1Lkd2ohWHjwdS9DZKFHmvUmX,1thAkY2DrgJDx29_UZ-WfIhzII7QZgySj,Pokémon-Icon_055
67,0056,マンキー,,1,00,00,00,,マンキー,かくとう,fighting,なし,none,40,80,35,35,45,70,305,やるき,いかりのつぼ,まけんき,28,pm0056_00_00_00,18Bx7HXxbbyjribrroHR2qP5ZrRbQiQzp,1R_TSAcbBGOEWulpRpsHhPYIjD90djETH,Pokémon-Icon_056
68,0057,オコリザル,,1,00,00,00,,オコリザル,かくとう,fighting,なし,none,65,105,60,60,70,95,455,やるき,いかりのつぼ,まけんき,32,pm0057_00_00_00,1i4-d6zDg4jbhT1MNIsvpC3zOJQIstjN7,1cKs4t9s_BBxZv1gZyUSbH1TXUHwaYueP,Pokémon-Icon_057
69,0058,ガーディ,原種,1,00,00,00,,ガーディ(原種),ほのお,fire,なし,none,55,70,45,70,50,60,350,いかく,もらいび,せいぎのこころ,19,pm0058_00_00_00,1NaKmJE2up2h0wR-S1fiQI2urhj9EutgB,168jrTK6mJlsXh5x_dEgRJl3sJqdQBcuG,Pokémon-Icon_058
70,0058,ガーディ,ヒスイのすがた,8.5,00,41,00,a,ガーディ(ヒスイのすがた),いわ,rock,なし,none,60,75,45,65,50,55,350,いかく,もらいび,いしあたま,22.7,pm0058_00_00_00,1NaKmJE2up2h0wR-S1fiQI2urhj9EutgB,1-TGvDVJ-9q2kjtBvYp7HTZ5owNEi_8yp,Pokémon-Icon_058a
71,0059,ウインディ,原種,1,00,00,00,,ウインディ(原種),ほのお,fire,なし,none,90,110,80,100,80,95,555,いかく,もらいび,せいぎのこころ,155,pm0059_00_00_00,1RJkFBONhyDGyadRnRijFNAvB3N63QWtI,16uXx7Gi4Zn2gOAuMZQuMm6Ynaf6DptZv,Pokémon-Icon_059
72,0059,ウインディ,ヒスイのすがた,8.5,00,41,00,a,ウインディ(ヒスイのすがた),いわ,rock,なし,none,95,115,80,95,80,90,555,いかく,もらいび,いしあたま,168,pm0059_00_00_00,1RJkFBONhyDGyadRnRijFNAvB3N63QWtI,1X4ue4MzDacUTMJ2O4n9GMuF3RRYhLfm7,Pokémon-Icon_059a
73,0060,ニョロモ,,1,00,00,00,,ニョロモ,みず,water,なし,none,40,50,40,40,40,90,300,ちょすい,しめりけ,すいすい,12.4,pm0060_00_00_00,,1fUgGmOKl-zCE5It9eKQaWPTZefBYskse,Pokémon-Icon_060
74,0061,ニョロゾ,,1,00,00,00,,ニョロゾ,みず,water,なし,none,65,65,65,50,50,90,385,ちょすい,しめりけ,すいすい,20,pm0061_00_00_00,,18KtnqbBKsOGGEOuDizCqQ0cZGPXqDMVO,Pokémon-Icon_061
75,0062,ニョロボン,,1,00,00,00,,ニョロボン,みず,water,かくとう,fighting,90,95,95,70,90,70,510,ちょすい,しめりけ,すいすい,54,pm0062_00_00_00,,1sFXs0E_y31IiW7O3RMmrR4h8ShKQPNDq,Pokémon-Icon_062
76,0063,ケーシィ,,1,00,00,00,,ケーシィ,エスパー,psychic,なし,none,25,20,15,105,55,90,310,シンクロ,せいしんりょく,マジックガード,19.5,pm0063_00_00_00,,1Y_uYYECSiENgag-S7WB5O4zqnBYuMkK4,Pokémon-Icon_063
77,0064,ユンゲラー,,1,00,00,00,,ユンゲラー,エスパー,psychic,なし,none,40,35,30,120,70,105,400,シンクロ,せいしんりょく,マジックガード,56.5,pm0064_00_00_00,,1q6FwsJ8qqbOUivFPM1LxHFUvCklZ-xTA,Pokémon-Icon_064
78,0065,フーディン,,1,00,00,00,,フーディン,エスパー,psychic,なし,none,55,50,45,135,95,120,500,シンクロ,せいしんりょく,マジックガード,48,pm0065_00_00_00,,1Zh3sTQNfe7WBYZUocesZzg-i6KRFmrxw,Pokémon-Icon_065
79,0066,ワンリキー,,1,00,00,00,,ワンリキー,かくとう,fighting,なし,none,70,80,50,35,35,35,305,こんじょう,ノーガード,ふくつのこころ,19.5,pm0066_00_00_00,,1cH-6fLEq5zSAxZcHmvFnyHjnNmQYaAq_,Pokémon-Icon_066
80,0067,ゴーリキー,,1,00,00,00,,ゴーリキー,かくとう,fighting,なし,none,80,100,70,50,60,45,405,こんじょう,ノーガード,ふくつのこころ,70.5,pm0067_00_00_00,,1Hp3lYopdG70NJpDkts3Yac8ME_IUqbOr,Pokémon-Icon_067
81,0068,カイリキー,,1,00,00,00,,カイリキー,かくとう,fighting,なし,none,90,130,80,65,85,55,505,こんじょう,ノーガード,ふくつのこころ,130,pm0068_00_00_00,,1Lh3SiQDL55EzCkaSRs47FvUVRq5rnCI8,Pokémon-Icon_068
82,0069,マダツボミ,,1,00,00,00,,マダツボミ,くさ,grass,どく,poison,50,75,35,70,30,40,300,ようりょくそ,,くいしんぼう,4,pm0069_00_00_00,,1jkR5CTsEwFt2V2g6q0iQBL6E_EU9jwu6,Pokémon-Icon_069
83,0070,ウツドン,,1,00,00,00,,ウツドン,くさ,grass,どく,poison,65,90,50,85,45,55,390,ようりょくそ,,くいしんぼう,6.4,pm0070_00_00_00,,1qODwig0wOfjAjSlxCNzEfCsY9uxqwOky,Pokémon-Icon_070
84,0071,ウツボット,,1,00,00,00,,ウツボット,くさ,grass,どく,poison,80,105,65,100,70,70,490,ようりょくそ,,くいしんぼう,15.5,pm0071_00_00_00,,1w7q0EEEdM-1f_08QWlVKjJ4yzwZHFOf5,Pokémon-Icon_071
85,0072,メノクラゲ,,1,00,00,00,,メノクラゲ,みず,water,どく,poison,40,40,35,50,100,70,335,クリアボディ,ヘドロえき,あめうけざら,45.5,pm0072_00_00_00,,1wk3u-Pf-caQZFobz3-EsLQ3RiS4BMlzt,Pokémon-Icon_072
86,0073,ドククラゲ,,1,00,00,00,,ドククラゲ,みず,water,どく,poison,80,70,65,80,120,100,515,クリアボディ,ヘドロえき,あめうけざら,55,pm0073_00_00_00,,1FVDYJ_01_ylB-qw3TclbBDmky6TBhNUK,Pokémon-Icon_073
87,0074,イシツブテ,原種,1,00,00,00,,イシツブテ(原種),いわ,rock,じめん,ground,40,80,100,30,30,20,300,いしあたま,がんじょう,すながくれ,20,pm0074_00_00_00,,1TNBhXwf64CkbcU08B0rSYpF1vuYWtTSE,Pokémon-Icon_074
88,0074,イシツブテ,アローラのすがた,7,00,11,00,a,イシツブテ(アローラのすがた),いわ,rock,でんき,electric,40,80,100,30,30,20,300,じりょく,がんじょう,エレキスキン,20.3,pm0074_00_00_00,,1nazfLQz4uhhliuspwj0ScmXRvE3qX6pp,Pokémon-Icon_074a
89,0075,ゴローン,原種,1,00,00,00,,ゴローン(原種),いわ,rock,じめん,ground,55,95,115,45,45,35,390,いしあたま,がんじょう,すながくれ,105,pm0075_00_00_00,,1MxtOh2knx4CvdqTPMUz4C9JGEgXc8ZVk,Pokémon-Icon_075
90,0075,ゴローン,アローラのすがた,7,00,11,00,a,ゴローン(アローラのすがた),いわ,rock,でんき,electric,55,95,115,45,45,35,390,じりょく,がんじょう,エレキスキン,110,pm0075_00_00_00,,1VkYj0RH0PMQb5w61j1gQQ0t6CCKxvPK6,Pokémon-Icon_075a
91,0076,ゴローニャ,原種,1,00,00,00,,ゴローニャ(原種),いわ,rock,じめん,ground,80,120,130,55,65,45,495,いしあたま,がんじょう,すながくれ,300,pm0076_00_00_00,,1_umCdLlG75uhBMb1CGXuPeidT9X6W5tM,Pokémon-Icon_076
92,0076,ゴローニャ,アローラのすがた,7,00,11,00,a,ゴローニャ(アローラのすがた),いわ,rock,でんき,electric,80,120,130,55,65,45,495,じりょく,がんじょう,エレキスキン,316,pm0076_00_00_00,,1fxtnSYAPz3-RRWWPYD9rAJqDNaNqpCsi,Pokémon-Icon_076a
93,0077,ポニータ,原種,1,00,00,00,,ポニータ(原種),ほのお,fire,なし,none,50,85,55,65,65,90,410,にげあし,もらいび,ほのおのからだ,30,pm0077_00_00_00,,1IkNpiSsB2AHWVVBgHGYsUL8yCI2aA6fT,Pokémon-Icon_077
94,0077,ポニータ,ガラルのすがた,8,00,31,00,a,ポニータ(ガラルのすがた),エスパー,psychic,なし,none,50,85,55,65,65,90,410,にげあし,パステルベール,きけんよち,24,pm0077_00_00_00,,1oKvEX9OG6y6p3a4qMlp6RKW4LGlfBv-u,Pokémon-Icon_077a
