名前,ID,育て方,ブースト,種族値,ランク,実数値,D,C,B,A,ブイズ,DLC,碧の仮面,藍の円盤,キタカミプロローグ
メブキジカ,654,最速,ようりょくそ,95,2,322,O,O,O,O,X,X,X,X,X
ジュプトル,294,最速,かるわざ,95,2,322,X,X,X,X,X,O,O,X,X
ドラパルト,993,最速,スカーフ,142,0,319,O,O,O,O,X,X,X,X,X
ハハコモリ,600,最速,ようりょくそ,92,2,316,X,X,X,X,X,O,X,O,O
ネオラント,505,最速,すいすい,91,2,314,O,O,O,O,X,X,X,X,X
ドレディア(ヒスイのすがた),608,準速,ようりょくそ,105,2,314,O,X,X,X,X,X,X,X,O
ザシアン(れきせんのゆうしゃ),995,最速,スカーフ,138,0,313,X,X,X,X,X,X,X,X,X
ザマゼンタ(れきせんのゆうしゃ),997,最速,スカーフ,138,0,313,X,X,X,X,X,X,X,X,X
ドレディア(原種),607,最速,ようりょくそ,90,2,312,O,O,O,O,X,X,X,X,O
ニョロモ,73,最速,すいすい,90,2,312,X,X,X,X,X,O,X,O,O
ニョロゾ,74,最速,すいすい,90,2,312,X,X,X,X,X,O,X,O,O
カマスジョー,950,最速,スカーフ,136,0,309,O,O,O,O,X,X,X,X,O
テツノツツミ,1115,最速,スカーフ,136,0,309,O,O,O,O,X,X,X,X,X
テツノツツミ,1115,最速,クォークチャージ,136,1,309,O,O,O,O,X,X,X,X,X
ドリュウズ,588,最速,すなかき,88,2,308,X,X,X,X,X,O,X,X,X
ハバタクカミ,1111,最速,スカーフ,135,0,307,O,O,O,O,X,X,X,X,X
ハバタクカミ,1111,最速,こだいかっせい,135,1,307,O,O,O,O,X,X,X,X,X
パオジアン,1127,最速,スカーフ,135,0,307,O,O,X,X,X,X,X,X,X
コライドン(バトルフォルム),1132,最速,スカーフ,135,0,307,X,X,X,X,X,X,X,X,X
ミライドン(バトルフォルム),1134,最速,スカーフ,135,0,307,X,X,X,X,X,X,X,X,X
サワムラー,133,最速,かるわざ,87,2,304,X,X,X,X,X,O,O,X,X
マルマイン(原種),125,準速,スカーフ,150,0,303,O,O,O,O,X,X,X,X,X
マルマイン(ヒスイのすがた),126,準速,スカーフ,150,0,303,O,X,X,X,X,X,X,X,X
ゴルダック,66,最速,すいすい,85,2,300,O,O,O,O,X,X,X,X,X
サンダース,167,最速,スカーフ,130,0,300,O,O,O,O,O,X,X,X,X
サンダース,167,最速,はやあし,130,1,300,O,O,O,O,O,X,X,X,X
ハリーセン(原種),249,最速,すいすい,85,2,300,O,O,O,O,X,X,X,X,X
ハリーセン(ヒスイのすがた),250,最速,すいすい,85,2,300,O,X,X,X,X,X,X,X,X
ブイゼル,466,最速,すいすい,85,2,300,O,O,O,O,X,X,X,X,X
コオリッポ(ナイスフェイス),980,最速,スカーフ,130,0,300,O,O,O,O,X,X,X,X,X
レイスポス,1007,最速,スカーフ,130,0,300,O,X,X,X,X,X,X,X,X
ハリーマン,1018,最速,すいすい,85,2,300,O,X,X,X,X,X,X,X,X
ソウブレイズ,1057,最速,くだけるよろい,85,2,300,O,O,O,O,X,X,X,X,X
ミュウツー,185,最速,スカーフ,130,0,300,X,X,X,X,X,X,X,X,X
ムゲンダイナ(通常),998,最速,スカーフ,130,0,300,X,X,X,X,X,X,X,X,X
キングドラ,271,最速,すいすい,85,2,300,X,X,X,X,X,O,O,X,X
ラブカス,413,準速,すいすい,97,2,298,O,O,O,O,X,X,X,X,X
メロエッタ(ステップフォルム),724,最速,スカーフ,128,0,297,X,X,X,X,X,X,X,X,X
リーフィア,518,準速,ようりょくそ,95,2,294,O,O,O,O,O,X,X,X,X
メブキジカ,654,準速,ようりょくそ,95,2,294,O,O,O,O,X,X,X,X,X
ジュプトル,294,準速,かるわざ,95,2,294,X,X,X,X,X,O,O,X,X
シェイミ(スカイフォルム),548,最速,スカーフ,127,0,294,X,X,X,X,X,O,O,X,X
ファイアロー,741,最速,スカーフ,126,0,292,O,O,O,O,X,X,X,X,X
マニューラ,509,最速,スカーフ,125,0,291,O,O,O,O,X,X,X,X,O
ドラパルト,993,準速,スカーフ,142,0,291,O,O,O,O,X,X,X,X,X
タイカイデン,1061,最速,スカーフ,125,0,291,O,O,O,O,X,X,X,X,X
コイキング,161,最速,すいすい,80,2,290,O,O,O,O,X,X,X,X,O
ポポッコ,224,最速,ようりょくそ,80,2,290,O,O,O,O,X,X,X,X,X
オニゴーリ,405,最速,ムラっけ,80,2,290,O,O,O,O,X,X,X,X,O
フワライド,474,最速,かるわざ,80,2,290,O,O,O,O,X,X,X,X,X
フシギバナ,2,最速,ようりょくそ,80,2,290,X,X,X,X,X,O,O,X,X
ダーテング,318,最速,ようりょくそ,80,2,290,X,X,X,X,X,O,X,O,O
ヒンバス,392,最速,すいすい,80,2,290,X,X,X,X,X,O,X,O,O
バルジーナ,700,最速,くだけるよろい,80,2,290,X,X,X,X,X,O,X,O,O
アブリボン,839,最速,スカーフ,124,0,289,X,X,X,X,X,O,X,O,O
オンバーン,804,最速,スカーフ,123,0,288,O,O,O,O,X,X,X,X,O
マスカーニャ,1023,最速,スカーフ,123,0,288,O,O,O,O,X,X,X,X,X
ハハコモリ,600,準速,ようりょくそ,92,2,288,X,X,X,X,X,O,X,O,O
ネオラント,505,準速,すいすい,91,2,286,O,O,O,O,X,X,X,X,X
ゲッコウガ(通常),735,最速,スカーフ,122,0,286,O,X,X,X,X,X,X,X,X
イダイトウ(メスのすがた),1016,最速,すいすい,78,2,286,O,X,X,X,X,X,X,X,O
イダイトウ(オスのすがた),1015,最速,すいすい,78,2,286,O,X,X,X,X,X,X,X,O
トルネロス(れいじゅうフォルム),712,最速,スカーフ,121,0,285,O,X,X,X,X,X,X,X,X
モトトカゲ,1088,最速,スカーフ,121,0,285,O,O,O,O,X,X,X,X,X
ザシアン(れきせんのゆうしゃ),995,準速,スカーフ,138,0,285,X,X,X,X,X,X,X,X,X
ザマゼンタ(れきせんのゆうしゃ),997,準速,スカーフ,138,0,285,X,X,X,X,X,X,X,X,X
ドレディア(原種),607,準速,ようりょくそ,90,2,284,O,O,O,O,X,X,X,X,O
ニョロモ,73,準速,すいすい,90,2,284,X,X,X,X,X,O,X,O,O
ニョロゾ,74,準速,すいすい,90,2,284,X,X,X,X,X,O,X,O,O
ダグトリオ(原種),58,最速,スカーフ,120,0,283,O,O,O,O,X,X,X,X,X
インテレオン,921,最速,スカーフ,120,0,283,O,X,X,X,X,X,X,X,X
オオニューラ,1017,最速,スカーフ,120,0,283,O,X,X,X,X,X,X,X,O
ウミトリオ,1081,最速,スカーフ,120,0,283,O,O,O,O,X,X,X,X,X
ウミトリオ,1081,最速,びびり,120,1,283,O,O,O,O,X,X,X,X,X
パルキア(オリジンフォルム),539,最速,スカーフ,120,0,283,X,X,X,X,X,X,X,X,X
アルセウス,550,最速,スカーフ,120,0,283,X,X,X,X,X,X,X,X,X
ジュカイン,295,最速,スカーフ,120,0,283,X,X,X,X,X,O,O,X,X
メテノ(コア),873,最速,スカーフ,120,0,283,X,X,X,X,X,O,X,X,X
エースバーン,918,最速,スカーフ,119,0,282,O,X,X,X,X,X,X,X,X
カマスジョー,950,準速,スカーフ,136,0,282,O,O,O,O,X,X,X,X,O
テツノツツミ,1115,準速,スカーフ,136,0,282,O,O,O,O,X,X,X,X,X
テツノツツミ,1115,準速,クォークチャージ,136,1,282,O,O,O,O,X,X,X,X,X
トドロクツキ,1130,最速,スカーフ,119,0,282,O,O,O,O,X,X,X,X,X
トドロクツキ,1130,最速,こだいかっせい,119,1,282,O,O,O,O,X,X,X,X,X
ルチャブル,781,最速,スカーフ,118,0,280,O,O,O,O,X,X,X,X,X
ハバタクカミ,1111,準速,スカーフ,135,0,280,O,O,O,O,X,X,X,X,X
ハバタクカミ,1111,準速,こだいかっせい,135,1,280,O,O,O,O,X,X,X,X,X
パオジアン,1127,準速,スカーフ,135,0,280,O,O,X,X,X,X,X,X,X
コライドン(バトルフォルム),1132,準速,スカーフ,135,0,280,X,X,X,X,X,X,X,X,X
ミライドン(バトルフォルム),1134,準速,スカーフ,135,0,280,X,X,X,X,X,X,X,X,X
ドリュウズ,588,準速,すなかき,88,2,280,X,X,X,X,X,O,X,X,X
シキジカ,653,最速,ようりょくそ,75,2,278,O,O,O,O,X,X,X,X,X
グレンアルマ,1056,最速,くだけるよろい,75,2,278,O,O,O,O,X,X,X,X,X
シルシュルー,1064,最速,かるわざ,75,2,278,O,O,O,O,X,X,X,X,X
スコヴィラン,1072,最速,ようりょくそ,75,2,278,O,O,O,O,X,X,X,X,X
スコヴィラン,1072,最速,ムラっけ,75,2,278,O,O,O,O,X,X,X,X,X
サワムラー,133,準速,かるわざ,87,2,278,X,X,X,X,X,O,O,X,X
ドーブル,276,最速,ムラっけ,75,2,278,X,X,X,X,X,O,O,X,X
エンニュート,857,最速,スカーフ,117,0,277,O,O,O,O,X,X,X,X,O
レジエレキ,1004,最速,,200,0,277,O,X,X,X,X,X,X,X,X
カジリガメ,937,最速,すいすい,74,2,276,O,O,O,O,X,X,X,X,O
テツノブジン,1131,最速,スカーフ,116,0,276,O,O,O,O,X,X,X,X,X
テツノブジン,1131,最速,クォークチャージ,116,1,276,O,O,O,O,X,X,X,X,X
ゼブライカ,581,最速,スカーフ,116,0,276,X,X,X,X,X,O,O,X,X
ゼブライカ,581,最速,でんきエンジン,116,1,276,X,X,X,X,X,O,O,X,X
エルフーン,605,最速,スカーフ,116,0,276,X,X,X,X,X,O,O,X,X
ペルシアン(原種),63,最速,スカーフ,115,0,274,O,O,O,O,X,X,X,X,X
ペルシアン(アローラのすがた),64,最速,スカーフ,115,0,274,O,X,X,X,X,X,X,X,X
ペルシアン(アローラのすがた),64,最速,びびり,115,1,274,O,X,X,X,X,X,X,X,X
ゴルダック,66,準速,すいすい,85,2,274,O,O,O,O,X,X,X,X,X
ハリーセン(原種),249,準速,すいすい,85,2,274,O,O,O,O,X,X,X,X,X
ハリーセン(ヒスイのすがた),250,準速,すいすい,85,2,274,O,X,X,X,X,X,X,X,X
ニューラ(原種),254,最速,スカーフ,115,0,274,O,O,O,O,X,X,X,X,O
ニューラ(ヒスイのすがた),255,最速,スカーフ,115,0,274,O,X,X,X,X,X,X,X,O
ブイゼル,466,準速,すいすい,85,2,274,O,O,O,O,X,X,X,X,X
フローゼル,467,最速,スカーフ,115,0,274,O,O,O,O,X,X,X,X,X
アグノム,535,最速,スカーフ,115,0,274,O,X,X,X,X,X,X,X,X
ハリーマン,1018,準速,すいすい,85,2,274,O,X,X,X,X,X,X,X,X
ソウブレイズ,1057,準速,くだけるよろい,85,2,274,O,O,O,O,X,X,X,X,X
ハルクジラ,1096,最速,ゆきかき,73,2,274,O,O,O,O,X,X,X,X,X
キングドラ,271,準速,すいすい,85,2,274,X,X,X,X,X,O,O,X,X
エテボース,472,最速,スカーフ,115,0,274,X,X,X,X,X,O,X,O,O
チラチーノ,641,最速,スカーフ,115,0,274,X,X,X,X,X,O,O,X,X
サンダース,167,準速,スカーフ,130,0,273,O,O,O,O,O,X,X,X,X
サンダース,167,準速,はやあし,130,1,273,O,O,O,O,O,X,X,X,X
コオリッポ(ナイスフェイス),980,準速,スカーフ,130,0,273,O,O,O,O,X,X,X,X,X
レイスポス,1007,準速,スカーフ,130,0,273,O,X,X,X,X,X,X,X,X
ミュウツー,185,準速,スカーフ,130,0,273,X,X,X,X,X,X,X,X,X
ムゲンダイナ(通常),998,準速,スカーフ,130,0,273,X,X,X,X,X,X,X,X,X
ジャローダ,554,最速,スカーフ,113,0,271,X,X,X,X,X,O,O,X,X
ルガルガン(まひるのすがた),841,最速,スカーフ,112,0,270,O,O,O,O,X,X,X,X,O
ルガルガン(まひるのすがた),841,最速,ふくつのこころ,112,1,270,O,O,O,O,X,X,X,X,O
メロエッタ(ステップフォルム),724,準速,スカーフ,128,0,270,X,X,X,X,X,X,X,X,X
フワンテ,473,最速,かるわざ,70,2,268,O,O,O,O,X,X,X,X,X
トルネロス(けしんフォルム),711,最速,スカーフ,111,0,268,O,X,X,X,X,X,X,X,X
ボルトロス(けしんフォルム),713,最速,スカーフ,111,0,268,O,X,X,X,X,X,X,X,X
ポットデス,959,最速,くだけるよろい,70,2,268,O,O,O,O,X,X,X,X,X
イッカネズミ(3びきかぞく),1041,最速,スカーフ,111,0,268,O,O,O,O,X,X,X,X,O
サケブシッポ,1109,最速,スカーフ,111,0,268,O,O,O,O,X,X,X,X,X
サケブシッポ,1109,最速,こだいかっせい,111,1,268,O,O,O,O,X,X,X,X,X
ニョロボン,75,最速,すいすい,70,2,268,X,X,X,X,X,O,X,O,O
ウツボット,84,最速,ようりょくそ,70,2,268,X,X,X,X,X,O,X,O,O
エアームド,268,最速,くだけるよろい,70,2,268,X,X,X,X,X,O,O,X,X
キモリ,293,最速,かるわざ,70,2,268,X,X,X,X,X,O,O,X,X
ルンパッパ,315,最速,すいすい,70,2,268,X,X,X,X,X,O,X,O,O
シェイミ(スカイフォルム),548,準速,スカーフ,127,0,268,X,X,X,X,X,O,O,X,X
ライチュウ(原種),27,最速,スカーフ,110,0,267,O,O,O,O,X,X,X,X,O
ライチュウ(アローラのすがた),28,最速,スカーフ,110,0,267,O,X,X,X,X,X,X,X,O
ダグトリオ(アローラのすがた),59,最速,スカーフ,110,0,267,O,X,X,X,X,X,X,X,X
ゲンガー,117,最速,スカーフ,110,0,267,O,O,O,O,X,X,X,X,O
ケンタロス(原種),157,最速,スカーフ,110,0,267,O,O,O,O,X,X,X,X,X
ワタッコ,225,最速,スカーフ,110,0,267,O,O,O,O,X,X,X,X,X
エーフィ,233,最速,スカーフ,110,0,267,O,O,O,O,O,X,X,X,X
ユキメノコ,526,最速,スカーフ,110,0,267,O,O,O,O,X,X,X,X,O
ゾロアーク(ヒスイのすがた),639,最速,スカーフ,110,0,267,O,X,X,X,X,X,X,X,X
ファイアロー,741,準速,スカーフ,126,0,267,O,O,O,O,X,X,X,X,X
ルガルガン(たそがれのすがた),843,最速,スカーフ,110,0,267,O,O,O,O,X,X,X,X,O
タギングル,1065,最速,スカーフ,110,0,267,O,O,O,O,X,X,X,X,X
テツノドクガ,1118,最速,スカーフ,110,0,267,O,O,O,O,X,X,X,X,X
テツノドクガ,1118,最速,クォークチャージ,110,1,267,O,O,O,O,X,X,X,X,X
ドードリオ,106,最速,スカーフ,110,0,267,X,X,X,X,X,O,O,X,X
オーガポン(みどりのめん),1144,最速,スカーフ,110,0,267,O,X,X,X,X,O,X,X,O
オーガポン(みどりのめん),1144,最速,おもかげやどし,110,1,267,O,X,X,X,X,O,X,X,O
マニューラ,509,準速,スカーフ,125,0,265,O,O,O,O,X,X,X,X,O
タイカイデン,1061,準速,スカーフ,125,0,265,O,O,O,O,X,X,X,X,X
ウネルミナモ,1136,最速,スカーフ,109,0,265,X,X,X,X,X,X,X,X,X
ウネルミナモ,1136,最速,こだいかっせい,109,1,265,X,X,X,X,X,X,X,X,X
キュウコン(アローラのすがた),44,最速,スカーフ,109,0,265,X,X,X,X,X,O,X,O,O
コイキング,161,準速,すいすい,80,2,264,O,O,O,O,X,X,X,X,O
ポポッコ,224,準速,ようりょくそ,80,2,264,O,O,O,O,X,X,X,X,X
オニゴーリ,405,準速,ムラっけ,80,2,264,O,O,O,O,X,X,X,X,O
フワライド,474,準速,かるわざ,80,2,264,O,O,O,O,X,X,X,X,X
ハカドッグ,1093,最速,すなかき,68,2,264,O,O,O,O,X,X,X,X,X
テツノコウベ,1117,最速,スカーフ,108,0,264,O,O,O,O,X,X,X,X,X
テツノコウベ,1117,最速,クォークチャージ,108,1,264,O,O,O,O,X,X,X,X,X
フシギバナ,2,準速,ようりょくそ,80,2,264,X,X,X,X,X,O,O,X,X
ダーテング,318,準速,ようりょくそ,80,2,264,X,X,X,X,X,O,X,O,O
ヒンバス,392,準速,すいすい,80,2,264,X,X,X,X,X,O,X,O,O
ゴウカザル,438,最速,スカーフ,108,0,264,X,X,X,X,X,O,O,X,X
モグリュー,587,最速,すなかき,68,2,264,X,X,X,X,X,O,X,X,X
デンチュラ,664,最速,スカーフ,108,0,264,X,X,X,X,X,O,X,X,X
バルジーナ,700,準速,くだけるよろい,80,2,264,X,X,X,X,X,O,X,O,O
アブリボン,839,準速,スカーフ,124,0,264,X,X,X,X,X,O,X,O,O
オンバーン,804,準速,スカーフ,123,0,262,O,O,O,O,X,X,X,X,O
マスカーニャ,1023,準速,スカーフ,123,0,262,O,O,O,O,X,X,X,X,X
ゲッコウガ(通常),735,準速,スカーフ,122,0,261,O,X,X,X,X,X,X,X,X
イダイトウ(メスのすがた),1016,準速,すいすい,78,2,260,O,X,X,X,X,X,X,X,O
イダイトウ(オスのすがた),1015,準速,すいすい,78,2,260,O,X,X,X,X,X,X,X,O
トルネロス(れいじゅうフォルム),712,準速,スカーフ,121,0,259,O,X,X,X,X,X,X,X,X
カエンジシ,746,最速,スカーフ,106,0,259,O,O,O,O,X,X,X,X,X
ラブトロス(けしんフォルム),1019,最速,スカーフ,106,0,259,O,X,X,X,X,X,X,X,X
モトトカゲ,1088,準速,スカーフ,121,0,259,O,O,O,O,X,X,X,X,X
テツノワダチ,1114,最速,スカーフ,106,0,259,O,O,O,O,X,X,X,X,X
テツノワダチ,1114,最速,クォークチャージ,106,1,259,O,O,O,O,X,X,X,X,X
マシマシラ,1142,最速,スカーフ,106,0,259,O,X,X,X,X,O,X,X,O
ダグトリオ(原種),58,準速,スカーフ,120,0,258,O,O,O,O,X,X,X,X,X
ストライク,152,最速,スカーフ,105,0,258,O,O,O,O,X,X,X,X,X
ストライク,152,最速,ふくつのこころ,105,1,258,O,O,O,O,X,X,X,X,X
ムウマージ,477,最速,スカーフ,105,0,258,O,O,O,O,X,X,X,X,X
ケイコウオ,504,最速,すいすい,66,2,258,O,O,O,O,X,X,X,X,X
ドレディア(ヒスイのすがた),608,最速,スカーフ,105,0,258,O,X,X,X,X,X,X,X,O
ゾロアーク(原種),638,最速,スカーフ,105,0,258,O,O,O,O,X,X,X,X,X
フリージオ,683,最速,スカーフ,105,0,258,O,O,O,O,X,X,X,X,X
インテレオン,921,準速,スカーフ,120,0,258,O,X,X,X,X,X,X,X,X
サシカマス,949,最速,すいすい,66,2,258,O,O,O,O,X,X,X,X,O
オオニューラ,1017,準速,スカーフ,120,0,258,O,X,X,X,X,X,X,X,O
パーモット,1039,最速,スカーフ,105,0,258,O,O,O,O,X,X,X,X,X
クエスパトラ,1076,最速,スカーフ,105,0,258,O,O,O,O,X,X,X,X,X
クエスパトラ,1076,最速,かそく,105,1,258,O,O,O,O,X,X,X,X,X
ウミトリオ,1081,準速,スカーフ,120,0,258,O,O,O,O,X,X,X,X,X
ウミトリオ,1081,準速,びびり,120,1,258,O,O,O,O,X,X,X,X,X
パルキア(オリジンフォルム),539,準速,スカーフ,120,0,258,X,X,X,X,X,X,X,X,X
アルセウス,550,準速,スカーフ,120,0,258,X,X,X,X,X,X,X,X,X
ザルード,1003,最速,スカーフ,105,0,258,X,X,X,X,X,X,X,X,X
エレブー,154,最速,スカーフ,105,0,258,X,X,X,X,X,O,X,X,X
ジュカイン,295,準速,スカーフ,120,0,258,X,X,X,X,X,O,O,X,X
モンメン,604,最速,ようりょくそ,66,2,258,X,X,X,X,X,O,O,X,X
コジョンド,689,最速,スカーフ,105,0,258,X,X,X,X,X,O,X,O,O
メテノ(コア),873,準速,スカーフ,120,0,258,X,X,X,X,X,O,X,X,X
アメタマ,326,最速,すいすい,65,2,256,O,O,O,O,X,X,X,X,O
マフォクシー,732,最速,スカーフ,104,0,256,O,X,X,X,X,X,X,X,X
エースバーン,918,準速,スカーフ,119,0,256,O,X,X,X,X,X,X,X,X
トドロクツキ,1130,準速,スカーフ,119,0,256,O,O,O,O,X,X,X,X,X
トドロクツキ,1130,準速,こだいかっせい,119,1,256,O,O,O,O,X,X,X,X,X
テツノイサハ,1137,最速,スカーフ,104,0,256,X,X,X,X,X,X,X,X,X
サンドパン(原種),31,最速,すなかき,65,2,256,X,X,X,X,X,O,X,O,O
サンドパン(アローラのすがた),32,最速,ゆきかき,65,2,256,X,X,X,X,X,O,X,O,O
ニャオニクス(オスのすがた),756,最速,スカーフ,104,0,256,X,X,X,X,X,O,O,X,X
ニャオニクス(メスのすがた),757,最速,スカーフ,104,0,256,X,X,X,X,X,O,O,X,X
ルチャブル,781,準速,スカーフ,118,0,255,O,O,O,O,X,X,X,X,X
シキジカ,653,準速,ようりょくそ,75,2,254,O,O,O,O,X,X,X,X,X
グレンアルマ,1056,準速,くだけるよろい,75,2,254,O,O,O,O,X,X,X,X,X
シルシュルー,1064,準速,かるわざ,75,2,254,O,O,O,O,X,X,X,X,X
スコヴィラン,1072,準速,ようりょくそ,75,2,254,O,O,O,O,X,X,X,X,X
スコヴィラン,1072,準速,ムラっけ,75,2,254,O,O,O,O,X,X,X,X,X
ドーブル,276,準速,ムラっけ,75,2,254,X,X,X,X,X,O,O,X,X
ガブリアス,493,最速,スカーフ,102,0,253,O,O,O,O,X,X,X,X,O
エンニュート,857,準速,スカーフ,117,0,253,O,O,O,O,X,X,X,X,O
ドロンチ,992,最速,スカーフ,102,0,253,O,O,O,O,X,X,X,X,X
ボルトロス(れいじゅうフォルム),714,最速,スカーフ,101,0,252,O,X,X,X,X,X,X,X,X
ランドロス(けしんフォルム),717,最速,スカーフ,101,0,252,O,X,X,X,X,X,X,X,X
デデンネ,782,最速,スカーフ,101,0,252,O,O,O,O,X,X,X,X,X
カジリガメ,937,準速,すいすい,74,2,252,O,O,O,O,X,X,X,X,O
レジエレキ,1004,準速,,200,0,252,O,X,X,X,X,X,X,X,X
スナノケガワ,1113,最速,スカーフ,101,0,252,O,O,O,O,X,X,X,X,X
スナノケガワ,1113,最速,こだいかっせい,101,1,252,O,O,O,O,X,X,X,X,X
テツノブジン,1131,準速,スカーフ,116,0,252,O,O,O,O,X,X,X,X,X
テツノブジン,1131,準速,クォークチャージ,116,1,252,O,O,O,O,X,X,X,X,X
ゼブライカ,581,準速,スカーフ,116,0,252,X,X,X,X,X,O,O,X,X
ゼブライカ,581,準速,でんきエンジン,116,1,252,X,X,X,X,X,O,O,X,X
エルフーン,605,準速,スカーフ,116,0,252,X,X,X,X,X,O,O,X,X
リザードン,5,最速,スカーフ,100,0,250,O,X,X,X,X,X,X,X,X
ペルシアン(原種),63,準速,スカーフ,115,0,250,O,O,O,O,X,X,X,X,X
ペルシアン(アローラのすがた),64,準速,スカーフ,115,0,250,O,X,X,X,X,X,X,X,X
ペルシアン(アローラのすがた),64,準速,びびり,115,1,250,O,X,X,X,X,X,X,X,X
ビリリダマ(原種),123,最速,スカーフ,100,0,250,O,O,O,O,X,X,X,X,X
ビリリダマ(ヒスイのすがた),124,最速,スカーフ,100,0,250,O,X,X,X,X,X,X,X,X
ケンタロス(パルデアのすがた単),158,最速,スカーフ,100,0,250,O,O,O,O,X,X,X,X,X
ケンタロス(パルデアのすがた炎),159,最速,スカーフ,100,0,250,O,O,O,O,X,X,X,X,X
ケンタロス(パルデアのすがた水),160,最速,スカーフ,100,0,250,O,O,O,O,X,X,X,X,X
サンダー(ガラルのすがた),179,最速,スカーフ,100,0,250,O,X,X,X,X,X,X,X,X
サンダー(原種),178,最速,スカーフ,100,0,250,O,X,X,X,X,X,X,X,X
バクフーン(原種),192,最速,スカーフ,100,0,250,O,X,X,X,X,X,X,X,X
ニューラ(原種),254,準速,スカーフ,115,0,250,O,O,O,O,X,X,X,X,O
ニューラ(ヒスイのすがた),255,準速,スカーフ,115,0,250,O,X,X,X,X,X,X,X,O
ケッキング,332,最速,スカーフ,100,0,250,O,O,O,O,X,X,X,X,X
ボーマンダ,416,最速,スカーフ,100,0,250,O,O,O,O,X,X,X,X,X
ムクホーク,444,最速,スカーフ,100,0,250,O,O,O,O,X,X,X,X,O
フローゼル,467,準速,スカーフ,115,0,250,O,O,O,O,X,X,X,X,X
アグノム,535,準速,スカーフ,115,0,250,O,X,X,X,X,X,X,X,X
ウルガモス,707,最速,スカーフ,100,0,250,O,O,O,O,X,X,X,X,X
リククラゲ,1069,最速,スカーフ,100,0,250,O,O,O,O,X,X,X,X,O
イルカマン(ナイーブフォルム),1084,最速,スカーフ,100,0,250,O,O,O,O,X,X,X,X,X
イルカマン(マイティフォルム),1085,最速,スカーフ,100,0,250,O,O,O,O,X,X,X,X,X
ハルクジラ,1096,準速,ゆきかき,73,2,250,O,O,O,O,X,X,X,X,X
イーユイ,1129,最速,スカーフ,100,0,250,O,O,X,X,X,X,X,X,X
ミュウ,186,最速,スカーフ,100,0,250,X,X,X,X,X,X,X,X,X
パルキア(通常),538,最速,スカーフ,100,0,250,X,X,X,X,X,X,X,X,X
キュウコン(原種),43,最速,スカーフ,100,0,250,X,X,X,X,X,O,X,O,O
