ID,英語,日本語
454,Member Card,メンバーズカード
455,Azure Flute,てんかいのふえ
456,S.S. Ticket,ふねのチケット
457,Contest Pass,コンテストパス
458,Magma Stone,かざんのおきいし
459,Parcel,おとどけもの
460,Coupon 1,ひきかえけん１
461,Coupon 2,ひきかえけん２
462,Coupon 3,ひきかえけん３
463,Storage Key,そうこのカギ
464,Secret Medicine,ひでんのくすり
465,Vs. Recorder,バトルレコーダー
466,Gracidea,グラシデアのはな
467,Secret Key,ひみつのカギ
468,Apricorn Box,ぼんぐりケース
469,Unown Report,アンノーンノート
470,Berry Pots,きのみプランター
471,Dowsing Machine,ダウジングマシン
472,Blue Card,ブルーカード
473,Slowpoke Tail,おいしいシッポ
474,Clear Bell,とうめいなスズ
475,Card Key,カードキー
476,Basement Key,ちかのかぎ
477,Squirt Bottle,ゼニガメじょうろ
478,Red Scale,あかいウロコ
479,Lost Item,おとしもの
480,Pass,リニアパス
481,Machine Part,きかいのぶひん
482,Silver Feather,ぎんいろのはね
483,Rainbow Feather,にじいろのはね
484,Mystery Egg,ふしぎなタマゴ
485,Red Apricorn,あかぼんぐり
486,Blue Apricorn,あおぼんぐり
487,Yellow Apricorn,きぼんぐり
488,Green Apricorn,みどぼんぐり
489,Pink Apricorn,ももぼんぐり
490,White Apricorn,しろぼんぐり
491,Black Apricorn,くろぼんぐり
492,Fast Ball,スピードボール
493,Level Ball,レベルボール
494,Lure Ball,ルアーボール
495,Heavy Ball,ヘビーボール
496,Love Ball,ラブラブボール
497,Friend Ball,フレンドボール
498,Moon Ball,ムーンボール
499,Sport Ball,コンペボール
500,Park Ball,パークボール
501,Photo Album,フォトアルバム
502,GB Sounds,ＧＢプレイヤー
503,Tidal Bell,うみなりのスズ
504,Rage Candy Bar,いかりまんじゅう
505,Data Card 01,データカード０１
506,Data Card 02,データカード０２
507,Data Card 03,データカード０３
508,Data Card 04,データカード０４
509,Data Card 05,データカード０５
510,Data Card 06,データカード０６
511,Data Card 07,データカード０７
512,Data Card 08,データカード０８
513,Data Card 09,データカード０９
514,Data Card 10,データカード１０
515,Data Card 11,データカード１１
516,Data Card 12,データカード１２
517,Data Card 13,データカード１３
518,Data Card 14,データカード１４
519,Data Card 15,データカード１５
520,Data Card 16,データカード１６
521,Data Card 17,データカード１７
522,Data Card 18,データカード１８
523,Data Card 19,データカード１９
524,Data Card 20,データカード２０
525,Data Card 21,データカード２１
526,Data Card 22,データカード２２
527,Data Card 23,データカード２３
528,Data Card 24,データカード２４
529,Data Card 25,データカード２５
530,Data Card 26,データカード２６
531,Data Card 27,データカード２７
532,Jade Orb,もえぎいろのたま
533,Lock Capsule,ロックカプセル
534,Red Orb,べにいろのたま
535,Blue Orb,あいいろのたま
536,Enigma Stone,なぞのすいしょう
537,Prism Scale,きれいなウロコ
538,Eviolite,しんかのきせき
539,Float Stone,かるいし
540,Rocky Helmet,ゴツゴツメット
541,Air Balloon,ふうせん
542,Red Card,レッドカード
543,Ring Target,ねらいのまと
544,Binding Band,しめつけバンド
545,Absorb Bulb,きゅうこん
546,Cell Battery,じゅうでんち
547,Eject Button,だっしゅつボタン
548,Fire Gem,ほのおのジュエル
549,Water Gem,みずのジュエル
550,Electric Gem,でんきのジュエル
551,Grass Gem,くさのジュエル
552,Ice Gem,こおりのジュエル
553,Fighting Gem,かくとうジュエル
554,Poison Gem,どくのジュエル
555,Ground Gem,じめんのジュエル
556,Flying Gem,ひこうのジュエル
557,Psychic Gem,エスパージュエル
558,Bug Gem,むしのジュエル
559,Rock Gem,いわのジュエル
560,Ghost Gem,ゴーストジュエル
561,Dragon Gem,ドラゴンジュエル
562,Dark Gem,あくのジュエル
563,Steel Gem,はがねのジュエル
564,Normal Gem,ノーマルジュエル
565,Health Feather,たいりょくのハネ
566,Muscle Feather,きんりょくのハネ
567,Resist Feather,ていこうのハネ
568,Genius Feather,ちりょくのハネ
569,Clever Feather,せいしんのハネ
570,Swift Feather,しゅんぱつのハネ
571,Pretty Feather,きれいなハネ
572,Cover Fossil,ふたのカセキ
573,Plume Fossil,はねのカセキ
574,Liberty Pass,リバティチケット
575,Pass Orb,デルダマ
576,Dream Ball,ドリームボール
577,Poké Toy,ポケじゃらし
578,Prop Case,グッズケース
579,Dragon Skull,ドラゴンのホネ
580,Balm Mushroom,かおるキノコ
581,Big Nugget,でかいきんのたま
582,Pearl String,おだんごしんじゅ
583,Comet Shard,すいせいのかけら
584,Relic Copper,こだいのどうか
585,Relic Silver,こだいのぎんか
586,Relic Gold,こだいのきんか
587,Relic Vase,こだいのツボ
588,Relic Band,こだいのうでわ
589,Relic Statue,こだいのせきぞう
590,Relic Crown,こだいのおうかん
591,Casteliacone,ヒウンアイス
592,Dire Hit 2,クリティカット２
593,X Speed 2,スピーダー２
594,X Sp. Atk 2,ＳＰアップ２
595,X Sp. Def 2,ＳＰガード２
596,X Defense 2,ディフェンダー２
597,X Attack 2,プラスパワー２
598,X Accuracy 2,ヨクアタール２
599,X Speed 3,スピーダー３
600,X Sp. Atk 3,ＳＰアップ３
601,X Sp. Def 3,ＳＰガード３
602,X Defense 3,ディフェンダー３
603,X Attack 3,プラスパワー３
604,X Accuracy 3,ヨクアタール３
605,X Speed 6,スピーダー６
606,X Sp. Atk 6,ＳＰアップ６
607,X Sp. Def 6,ＳＰガード６
608,X Defense 6,ディフェンダー６
609,X Attack 6,プラスパワー６
610,X Accuracy 6,ヨクアタール６
611,Ability Urge,スキルコール
612,Item Drop,アイテムドロップ
613,Item Urge,アイテムコール
614,Reset Urge,フラットコール
615,Dire Hit 3,クリティカット３
616,Light Stone,ライトストーン
617,Dark Stone,ダークストーン
618,TM93,わざマシン９３
619,TM94,わざマシン９４
620,TM95,わざマシン９５
621,Xtransceiver,ライブキャスター
622,???,ゴッドストーン
623,Gram 1,はいたつぶつ１
624,Gram 2,はいたつぶつ２
625,Gram 3,はいたつぶつ３
626,Xtransceiver,ライブキャスター
627,Medal Box,メダルボックス
628,DNA Splicers,いでんしのくさび
629,DNA Splicers,いでんしのくさび
630,Permit,きょかしょう
631,Oval Charm,まるいおまもり
632,Shiny Charm,ひかるおまもり
633,Plasma Card,プラズマカード
634,Grubby Hanky,よごれたハンカチ
635,Colress Machine,アクロママシーン
636,Dropped Item,わすれもの
637,Dropped Item,わすれもの
638,Reveal Glass,うつしかがみ
639,Weakness Policy,じゃくてんほけん
640,Assault Vest,とつげきチョッキ
641,Holo Caster,ホロキャスター
642,Prof’s Letter,はかせのてがみ
643,Roller Skates,ローラースケート
644,Pixie Plate,せいれいプレート
645,Ability Capsule,とくせいカプセル
646,Whipped Dream,ホイップポップ
647,Sachet,においぶくろ
648,Luminous Moss,ひかりごけ
649,Snowball,ゆきだま
650,Safety Goggles,ぼうじんゴーグル
651,Poké Flute,ポケモンのふえ
652,Rich Mulch,たわわこやし
653,Surprise Mulch,びっくりこやし
654,Boost Mulch,ぐんぐんこやし
655,Amaze Mulch,とんでもこやし
656,Gengarite,ゲンガナイト
657,Gardevoirite,サーナイトナイト
658,Ampharosite,デンリュウナイト
659,Venusaurite,フシギバナイト
660,Charizardite X,リザードナイトＸ
661,Blastoisinite,カメックスナイト
662,Mewtwonite X,ミュウツナイトＸ
663,Mewtwonite Y,ミュウツナイトＹ
664,Blazikenite,バシャーモナイト
665,Medichamite,チャーレムナイト
666,Houndoominite,ヘルガナイト
667,Aggronite,ボスゴドラナイト
668,Banettite,ジュペッタナイト
669,Tyranitarite,バンギラスナイト
670,Scizorite,ハッサムナイト
671,Pinsirite,カイロスナイト
672,Aerodactylite,プテラナイト
673,Lucarionite,ルカリオナイト
674,Abomasite,ユキノオナイト
675,Kangaskhanite,ガルーラナイト
676,Gyaradosite,ギャラドスナイト
677,Absolite,アブソルナイト
678,Charizardite Y,リザードナイトＹ
679,Alakazite,フーディナイト
680,Heracronite,ヘラクロスナイト
681,Mawilite,クチートナイト
682,Manectite,ライボルトナイト
683,Garchompite,ガブリアスナイト
684,Latiasite,ラティアスナイト
685,Latiosite,ラティオスナイト
686,Roseli Berry,ロゼルのみ
687,Kee Berry,アッキのみ
688,Maranga Berry,タラプのみ
689,Sprinklotad,ハスボーじょうろ
690,TM96,わざマシン９６
691,TM97,わざマシン９７
692,TM98,わざマシン９８
693,TM99,わざマシン９９
694,TM100,わざマシン１００
695,Power Plant Pass,はつでんしょパス
696,Mega Ring,メガリング
697,Intriguing Stone,すごそうないし
698,Common Stone,ありふれたいし
699,Discount Coupon,バーゲンチケット
700,Elevator Key,エレベータのキー
701,TMV Pass,ＴＭＶパス
702,Honor of Kalos,カロスエンブレム
703,Adventure Guide,たんけんこころえ
704,Strange Souvenir,ふしぎなおきもの
705,Lens Case,レンズケース
706,Makeup Bag,コスメポーチ
707,Travel Trunk,いしょうトランク
708,Lumiose Galette,ミアレガレット
709,Shalour Sable,シャラサブレ
710,Jaw Fossil,アゴのカセキ
711,Sail Fossil,ヒレのカセキ
712,Looker Ticket,ハンサムチケット
713,Bike,じてんしゃ
714,Holo Caster,ホロキャスター
715,Fairy Gem,ようせいジュエル
716,Mega Charm,メガチャーム
717,Mega Glove,メガグローブ
718,Mach Bike,マッハじてんしゃ
719,Acro Bike,ダートじてんしゃ
720,Wailmer Pail,ホエルコじょうろ
721,Devon Parts,デボンのにもつ
722,Soot Sack,はいぶくろ
723,Basement Key,ちかのカギ
724,Pokéblock Kit,ポロックキット
725,Letter,ダイゴへのてがみ
726,Eon Ticket,むげんのチケット
727,Scanner,たんちき
728,Go-Goggles,ゴーゴーゴーグル
729,Meteorite,いんせき
730,Key to Room 1,１ごうしつのカギ
731,Key to Room 2,２ごうしつのカギ
732,Key to Room 4,４ごうしつのカギ
733,Key to Room 6,６ごうしつのカギ
734,Storage Key,そうこのカギ
735,Devon Scope,デボンスコープ
736,S.S. Ticket,ふねのチケット
737,HM07,ひでんマシン０７
738,Devon Scuba Gear,デボンボンベ
739,Contest Costume,ライブスーツ
740,Contest Costume,ライブドレス
741,Magma Suit,マグマスーツ
742,Aqua Suit,アクアスーツ
743,Pair of Tickets,ペアチケット
744,Mega Bracelet,メガバングル
745,Mega Pendant,メガペンダント
746,Mega Glasses,メガメガネ
747,Mega Anchor,メガイカリ
748,Mega Stickpin,メガラペルピン
749,Mega Tiara,メガティアラ
750,Mega Anklet,メガアンクレット
751,Meteorite,いんせき
752,Swampertite,ラグラージナイト
753,Sceptilite,ジュカインナイト
754,Sablenite,ヤミラミナイト
755,Altarianite,チルタリスナイト
756,Galladite,エルレイドナイト
757,Audinite,タブンネナイト
758,Metagrossite,メタグロスナイト
759,Sharpedonite,サメハダナイト
760,Slowbronite,ヤドランナイト
761,Steelixite,ハガネールナイト
762,Pidgeotite,ピジョットナイト
763,Glalitite,オニゴーリナイト
764,Diancite,ディアンシナイト
765,Prison Bottle,いましめのツボ
766,Mega Cuff,メガブレス
767,Cameruptite,バクーダナイト
768,Lopunnite,ミミロップナイト
769,Salamencite,ボーマンダナイト
770,Beedrillite,スピアナイト
771,Meteorite,いんせき
772,Meteorite,いんせき
773,Key Stone,キーストーン
774,Meteorite Shard,いんせきのかけら
775,Eon Flute,むげんのふえ
776,Normalium Z,ノーマルＺ
777,Firium Z,ホノオＺ
778,Waterium Z,ミズＺ
779,Electrium Z,デンキＺ
780,Grassium Z,クサＺ
781,Icium Z,コオリＺ
782,Fightinium Z,カクトウＺ
783,Poisonium Z,ドクＺ
784,Groundium Z,ジメンＺ
785,Flyinium Z,ヒコウＺ
786,Psychium Z,エスパーＺ
787,Buginium Z,ムシＺ
788,Rockium Z,イワＺ
789,Ghostium Z,ゴーストＺ
790,Dragonium Z,ドラゴンＺ
791,Darkinium Z,アクＺ
792,Steelium Z,ハガネＺ
793,Fairium Z,フェアリーＺ
794,Pikanium Z,ピカチュウＺ
795,Bottle Cap,ぎんのおうかん
796,Gold Bottle Cap,きんのおうかん
797,Z-Ring,Ｚリング
798,Decidium Z,ジュナイパーＺ
799,Incinium Z,ガオガエンＺ
800,Primarium Z,アシレーヌＺ
801,Tapunium Z,カプＺ
802,Marshadium Z,マーシャドーＺ
803,Aloraichium Z,アロライＺ
804,Snorlium Z,カビゴンＺ
805,Eevium Z,イーブイＺ
806,Mewnium Z,ミュウＺ
807,Normalium Z,ノーマルＺ
808,Firium Z,ホノオＺ
809,Waterium Z,ミズＺ
810,Electrium Z,デンキＺ
811,Grassium Z,クサＺ
812,Icium Z,コオリＺ
813,Fightinium Z,カクトウＺ
814,Poisonium Z,ドクＺ
815,Groundium Z,ジメンＺ
816,Flyinium Z,ヒコウＺ
817,Psychium Z,エスパーＺ
818,Buginium Z,ムシＺ
819,Rockium Z,イワＺ
820,Ghostium Z,ゴーストＺ
821,Dragonium Z,ドラゴンＺ
822,Darkinium Z,アクＺ
823,Steelium Z,ハガネＺ
824,Fairium Z,フェアリーＺ
825,Pikanium Z,ピカチュウＺ
826,Decidium Z,ジュナイパーＺ
827,Incinium Z,ガオガエンＺ
828,Primarium Z,アシレーヌＺ
829,Tapunium Z,カプＺ
830,Marshadium Z,マーシャドーＺ
831,Aloraichium Z,アロライＺ
832,Snorlium Z,カビゴンＺ
833,Eevium Z,イーブイＺ
